time_hr,absorbed_mg,fraction_absorbed,excreted_mg,cp_mg_l,stomach_undissolved_mg,stomach_dissolved_mg,duodenum_undissolved_mg,duodenum_dissolved_mg,jejunum_undissolved_mg,jejunum_dissolved_mg,ileum_undissolved_mg,ileum_dissolved_mg,colon_undissolved_mg,colon_dissolved_mg
0.0,0.0,0.0,0.0,0.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024,0.7881659404087267,0.007881659404087266,2.1969137103207916e-09,0.06541804594473087,88.38604093751354,2.4428848864116084,0.3348637301390801,7.6782850672808705,0.0003711726949486606,0.3674361062147001,6.854839112671107e-08,0.0019441770421637034,1.828176877533917e-11,7.911530989376516e-06
0.0481,2.9872818314245473,0.029872818314245472,5.82528668788445e-08,0.24690128659886146,80.04377259447999,2.4551650688009694,0.3750352579948797,12.958326410307139,0.00041616866956863206,1.1676945273023174,8.206888634272355e-08,0.012207155993350106,1.114626467751251e-11,0.00010084469547748463
0.0721,6.261214750684084,0.06261214750684084,3.671788032673114e-07,0.5152204205434412,72.47940629455258,2.4534926011551694,0.3856820049992412,16.295794819693306,0.0004284340414260822,2.09119408064548,7.962354534993e-08,0.032379452307094214,1.7853397817435124e-11,0.0004071151028486665
0.0962,10.31003507857419,0.1031003507857419,1.2867277075389875e-06,0.8444969022052559,65.60911323308329,2.4516339226159234,0.37833060359713483,18.222701304763685,0.00042068922917822324,2.9663205827701513,7.452443733214135e-08,0.06041600611723136,1.7614718634945833e-11,0.0010272179797099841
0.1202,14.880589461386409,0.1488058946138641,3.271839368972474e-06,1.2130362830891859,59.369168815943205,2.449676733316088,0.3602803166181455,19.137080572877462,0.0004007838036438185,3.70775470307139,6.917910981750773e-08,0.09304075495676233,1.7222384972039024e-11,0.002004516990923759
0.1443,19.76559735152033,0.1976559735152033,6.796898366701642e-06,1.603203024326067,53.70178240741868,2.447610961724899,0.33649765155423167,19.335253311327588,0.00037404456072738583,4.282563836207637,7.043122790465706e-08,0.12698718687880456,1.3518329066725339e-11,0.0033263814631596124
0.1683,24.7998606765933,0.24799860676593302,1.2289305483594476e-05,2.0010578547885998,48.55446751062677,2.4454233432166057,0.3098709030459068,19.03733248372245,0.0003444867688286293,4.688192879652818,6.542335514727302e-08,0.15955753433995723,1.1364062909029495e-11,0.004937827292104394
0.1924,29.855140940073788,0.2985514094007379,2.0083990975495606e-05,2.395889174164455,43.87955565791735,2.4430973760028505,0.2818863965479324,18.40599269983953,0.00031340511861668787,4.938434279299186,5.940683508170666e-08,0.18880096935710966,1.0660800785289656e-11,0.006758132433798273
0.2164,34.83460746450606,0.34834607464506057,3.039937378379049e-05,2.779714591945386,39.633756102013585,2.4406120618400142,0.2533077944885855,17.560517965009396,0.0002819841978776753,5.05469662654161,5.016812281877164e-08,0.21349370594035635,1.0083691878740551e-11,0.00869584590889834
0.2405,39.667428302353294,0.3966742830235329,4.333120242311168e-05,3.146800278153553,35.7777567651396,2.4379398852921654,0.2246203834562578,16.587509038903484,0.0002501426745596384,5.060762876436549,4.378170831998224e-08,0.23302882674015027,8.407557351893998e-12,0.010660404009818436
0.2645,44.303831599139045,0.44303831599139043,5.8859429962891625e-05,3.4932250472086666,32.27586338807312,2.435043375643806,0.1962404922211312,15.549094701193388,0.00021853557399586487,4.979802030356084,4.446450515792464e-08,0.24727692109608418,6.414366210991552e-12,0.01257005277321976
0.2886,48.71078702243954,0.4871078702243954,7.686341285067704e-05,3.81650102138509,29.095675027298437,2.4318687299298256,0.16858997051258878,14.489193605159661,0.000187657700342902,4.83281486101053,3.569449539352989e-08,0.25644973980124675,5.01753912064613e-12,0.014356486958229256
0.3126,52.86834131477084,0.5286834131477084,9.714148778992683e-05,4.1152530112921015,26.20779687944632,2.428332453912089,0.14220589812783435,13.438158176214358,0.0001582874084784797,4.6379610954917645,2.9530188560880893e-08,0.2609818372343686,6.818327493967756e-12,0.01596688624748022
0.3367,56.76644342905978,0.5676644342905978,0.0001194319320111904,4.388942262296998,23.585601036136882,2.424287634902494,0.11860199484408601,12.4155999309821,0.00013211164494151105,4.410414754260113,2.3621309658637063e-08,0.2614355872556414,7.700095421062048e-12,0.01736406519297268
0.3607,60.402729212964154,0.6040272921296416,0.00014343322601621225,4.637673057907848,21.20509789671035,2.419404591193527,0.09653427094125962,11.436513752444625,0.00010748805085637029,4.162514551720521,2.2868096326463062e-08,0.25842940358384014,3.330864263919487e-12,0.018525376087775325
0.3848,63.78051240060908,0.6378051240060908,0.00016882231228738722,4.862018581051619,19.046056432385182,2.411825408624381,0.07654573289587605,10.50874732813404,8.501596297982514e-05,3.9040316112158364,2.2259761557737614e-08,0.25258635337363067,7.50488751111569e-13,0.019440880786851543
0.4088,66.90706241022396,0.6690706241022396,0.00019527014482323358,5.062872716175615,17.084321760774376,2.4056418199816982,0.05907523491991478,9.636502953709043,6.556624488038672e-05,3.6425241810699944,1.6719439214255032e-08,0.24449962582946758,6.295213743126043e-13,0.020111177963024005
0.4329,69.79238594992215,0.6979238594992215,0.00022245426500771298,5.241345316734179,15.301230660430909,2.4012939034440515,0.04445699578733535,8.821406547262828,4.9675381219956354e-05,3.3836972969520054,8.192997028195257e-09,0.2347113722772001,3.27122699809672e-12,0.020545161856941357
0.4569,72.44828635080292,0.7244828635080292,0.00025006844300387755,5.398681725532665,13.682212821425205,2.3968000836589107,0.03288698325962856,8.063330198332089,3.671837304186812e-05,3.1317373907436328,7.150302300818803e-09,0.22370151699867383,2.0024183219316827e-12,0.020757894029443464
0.481,74.8876565790782,0.748876565790782,0.00027782961436681344,5.536202610016307,12.212453287815775,2.391941416962434,0.024344270522571983,7.361041677162271,2.710626272060041e-05,2.8896054737156645,6.922987544254381e-09,0.21188369660340137,2.1912790873994042e-13,0.020768695319080623
0.505,77.12396351550792,0.7712396351550792,0.0003054824464193023,5.65526035691272,10.87838588659112,2.3866289468451343,0.018497969476857203,6.71270121766126,2.0290138323147333e-05,2.659291260474197,7.2874353017394375e-09,0.19960595887346716,0.0,0.0205995108191071
0.5291,79.17088176868845,0.7917088176868845,0.0003328019124619124,5.7572083705559445,9.667707899830273,2.3807625837642097,0.01468036269752844,6.116169478122732,1.5855167816954977e-05,2.4420211983870814,6.485339291179678e-09,0.18715453395005535,0.0,0.020273562694381658
0.5531,81.042016838641,0.8104201683864101,0.000359594253862753,5.8433781336428305,8.569289246151653,2.374207072309893,0.01210290426767183,5.569008254306273,1.3490626096751063e-05,2.238429043687821,2.6177705685124356e-09,0.1747593290425705,7.778759950259766e-13,0.01981428086211978
0.5772,82.75065985214485,0.8275065985214485,0.0003856966859820615,5.9150591545384446,7.573089623633074,2.3667705300063444,0.010189775626910926,5.068350961742713,1.1455813348939002e-05,2.0486974295712814,1.7890159203600112e-09,0.16260024739430037,2.0892788808209947e-13,0.01924448696308413
0.6012,84.30957811089883,0.8430957811089883,0.0004109761657157802,5.9734821239004985,6.670100449146749,2.3581677568042907,0.008655521062040565,4.611006221546106,9.77512325571393e-06,1.8726716588273156,1.8161186677594533e-09,0.1508137940349132,4.0219583348401587e-13,0.01858580012714399
0.6253,85.73087765181809,0.8573087765181809,0.0004353274948061889,6.019808239529584,5.852330516777838,2.3479485151904536,0.007378584116173995,4.193705048309662,8.029823945765549e-06,1.7099586053896003,3.4739798891550372e-09,0.13949955563874591,0.0,0.017858231318236578
0.6493,87.02593531978361,0.8702593531978361,0.0004586709889141201,6.055124414947735,5.1128856508222285,2.3353397084791405,0.006296327601823592,3.8132691517128054,6.709539009645816e-06,1.5600022538604157,3.096580336257903e-09,0.12872634328801738,0.0,0.01707993363006133
0.6733,88.2053744940798,0.882053744940798,0.0004809499000155915,6.080442159239225,4.446310746244908,2.3188323405537155,0.0053697517706534125,3.466676990353335,5.768386790704805e-06,1.4221441718349113,1.952691472981885e-09,0.11853778307652751,0.0,0.016267077784039373
0.6974,89.27906603070379,0.8927906603070379,0.0005021277402878844,6.096698557951132,3.849996239738809,2.2947105564519115,0.00457373543494713,3.151087874993325,5.364770946746149e-06,1.29566703637806,5.282304522848274e-10,0.10895728729038603,3.3216455414896894e-13,0.01543382475400208
0.7214,90.25614432586167,0.9025614432586166,0.0005221856203761796,6.104758494090505,3.3383063723835664,2.242864805626166,0.003909609764630091,2.8638348981176565,4.344874646659333e-06,1.1798288054557142,8.402419774865047e-10,0.09999235256214976,1.0468291305296157e-13,0.014592370869314279
0.7455,91.14503365013779,0.9114503365013779,0.000541119684480676,6.10541769393214,2.8900863877310212,2.179231441649754,0.0033437528790509707,2.602485734848379,3.55979136851062e-06,1.073883164199755,1.7115518594905053e-09,0.09163821843963735,0.0,0.01375304447813115
0.7695,91.95349492416285,0.9195349492416285,0.0005589386992786622,6.099407428367989,2.467518285318056,2.136888645709221,0.002825803579288825,2.364806526426862,3.1574885376176396e-06,0.9770984442714676,7.240017717078866e-10,0.08388091540558937,1.7130047926515133e-13,0.01292443701256578
0.7936,92.68865398049324,0.9268865398049324,0.0005756618330370935,6.087397623487946,2.07790173140194,2.1042316246124955,0.0023585973897522496,2.1486939199033834,2.681702229649518e-06,0.8887685709484906,3.925321914543507e-10,0.07669975852915735,1.8325971544606126e-13,0.012113554584966922
0.8176,93.35704012507438,0.9335704012507438,0.0005913166448480054,6.070000789020785,1.7234127686676488,2.0751740351243324,0.0019406852556967048,1.952223860125811,2.2625186224645107e-06,0.8082196676009206,2.933098936095893e-10,0.07006938374396374,1.6758019343205987e-14,0.011325979421264662
0.8417,93.96462802046462,0.9396462802046461,0.0006059372915750851,6.0477761738695195,1.404031854456647,2.0461837359169825,0.0015692008869812911,1.7736365982702582,1.7976378481772565e-06,0.7348155386603946,3.813624218114018e-10,0.06396136973705088,5.86881622383131e-14,0.010566033206256632
0.8657,94.51687827364368,0.9451687827364368,0.0006195629509659715,6.021233764582207,1.119044753457072,2.014749005888894,0.0012454716311729543,1.6113195507479579,1.2008216008211483e-06,0.6679598135052786,6.823182396365764e-10,0.058345519277293575,0.0,0.009836936531622431
0.8898,95.01877593337858,0.9501877593337857,0.0006322364528512144,5.990838063040097,0.8679790859976484,1.978412123153494,0.0009664292852398678,1.4638052862555353,6.321225168642358e-07,0.607096549773803,5.437119867034226e-10,0.05319085378326854,0.0,0.009140960407845237
0.9138,95.47487017575132,0.9547487017575133,0.0006440031059388239,5.957011917225323,0.6515937153163728,1.9337528447022443,0.0007257483609186005,1.329757336718404,6.94788392095613e-07,0.5517096381910348,2.0468698318448006e-10,0.04846636863013327,0.0,0.008479567221307521
0.9379,95.88930792604604,0.9588930792604604,0.0006549097049648345,5.920139803738004,0.4741265204868019,1.8741159888039094,0.0005281642141306358,1.2079473684526199,8.602281623133926e-07,0.5013232208628106,0.0,0.044141596294707625,6.650065738819383e-14,0.007853539589159271
0.9619,96.26586541183855,0.9626586541183855,0.000665003701483936,5.88057089981989,0.3593282880889643,1.7735551588405596,0.00039950735067517576,1.097236965005126,4.5394880046671865e-07,0.4554991895222693,8.506792081037159e-11,0.04018701426442772,3.7824071063780984e-14,0.007263096418355075
0.986,96.60797625296821,0.9660797625296822,0.0006743325211176448,5.838621832480677,0.30519912526096493,1.632075998661444,0.00033933014806279693,0.9966185268156241,4.571993946144922e-07,0.4138337374801568,1.6349735517246205e-11,0.036574333464670185,7.843626464618896e-15,0.0067079961317927875
1.01,96.91877641037716,0.9691877641037716,0.0006829430103446237,5.79458079130877,0.253938457166815,1.505667728146025,0.000282615338583496,0.9052292459849232,2.0915537384410399e-07,0.37595816913998603,8.47166372346675e-11,0.033276686270355044,0.0,0.0061876274526020585
1.0341,97.20112297811038,0.9720112297811038,0.0006908809965803223,5.748709422682837,0.2061243028476596,1.3921070940033389,0.0002297899219117788,0.8222218358738986,0.0,0.3415334143463412,1.2831475675442398e-10,0.030268731776605634,0.0,0.0057010883160138175
1.0581,97.4576143471519,0.974576143471519,0.0006981909461486672,5.701244818257355,0.16222005729831918,1.2894363526421566,0.00018070391344710585,0.7468274318972028,1.328819975664031e-07,0.3102489232213864,3.570662081247979e-11,0.027526701009648102,0.0,0.005247253657553634
1.0822,97.69061309893613,0.9769061309893613,0.000704915705964874,5.652401704648934,0.1226122902935733,1.1959116335095168,0.0001363199400440259,0.6783467066302095,2.386226464553383e-07,0.2818216541549511,0.0,0.02502840485584473,5.5875497679655615e-15,0.004824833122061179
1.1062,97.90226701189563,0.9790226701189563,0.0007110963161806627,5.602374450655904,0.0876548110685765,1.10994630565324,9.74894146607629e-05,0.6161445829086822,1.6076995735513202e-07,0.2559930055511494,0.0,0.022753213414454652,3.709013983764661e-15,0.004432419758987232
1.1303,98.09452829105248,0.9809452829105249,0.0007167718824337784,5.551338903304323,0.057731084791591954,1.0300371451821662,6.464264056437488e-05,0.5596446452449705,3.564099261138176e-08,0.23252693761993568,2.0784339133599323e-11,0.02068201284939655,0.0,0.004068530719137169
1.1543,98.26917113745907,0.9826917113745907,0.0007219794976614772,5.4994540644401555,0.03337185396274375,0.9546363447763448,3.777645951049618e-05,0.5083238138032871,0.0,0.21120840679602315,2.002136029777234e-11,0.018797146301967962,0.0,0.0037316409094390788
1.1784,98.42780776116608,0.9842780776116608,0.0007267542046729683,5.446863618360428,0.015593438947413376,0.8818037950196126,1.760995645671843e-05,0.46170637454664554,0.0,0.19184181132501413,6.339195816228146e-12,0.017082344005117614,0.0,0.003420210497212551
1.2024,98.57190279467848,0.9857190279467848,0.0007311289918199269,5.393697308667151,0.008410091780414304,0.8066861762054517,1.0032921744856404e-05,0.4193553527525831,1.396134914092213e-08,0.17424916098947318,0.0,0.015522646742212392,0.0,0.003132707084412394
