time_hr,absorbed_mg,fraction_absorbed,excreted_mg,cp_mg_l,stomach_undissolved_mg,stomach_dissolved_mg,duodenum_undissolved_mg,duodenum_dissolved_mg,jejunum_undissolved_mg,jejunum_dissolved_mg,ileum_undissolved_mg,ileum_dissolved_mg,colon_undissolved_mg,colon_dissolved_mg
0.0,0.0,0.0,0.0,0.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0481,3.5127926772098728,0.03512792677209873,5.430013962825179e-08,0.28913761254524256,80.07360706578821,2.42533059749279,0.7794183553673553,12.110256663334841,0.0009834772246049765,1.0863174945252023,1.8032748607042527e-07,0.011200846909656819,4.8677287209706627e-11,9.258747117648704e-05
0.0962,11.918613534284946,0.11918613534284946,1.1206167034212607e-06,0.9677041136126312,65.637464338041,2.4232828176582633,0.7437716652781785,16.64495956341981,0.0015485425828103967,2.5785084465079047,2.9239394951891157e-07,0.05098284115514985,4.3336415545503216e-11,0.0008668380185221215
0.1443,22.405394087333516,0.22405394087333516,5.5505290175925065e-06,1.7919940764743805,53.7321503030019,2.417243066141743,0.5857410528949201,17.256833425080615,0.0017085554180664812,3.499362173749781,3.1441033454319346e-07,0.09897476749890803,7.776327494520211e-11,0.0025867038650670767
0.1924,33.20224465917096,0.3320224465917096,1.5438746097006104e-05,2.612136414268136,43.91216032728209,2.4104927066381454,0.4421728078121338,16.07152613716068,0.001455284359681096,3.8184890229392145,2.7139179836329837e-07,0.13658616843391866,4.802610786863238e-11,0.004857176020561331
0.2405,43.35010241431478,0.43350102414314784,3.148112040215734e-05,3.349943932589115,35.81286378183464,2.402832868597179,0.33990985404690044,14.19997178979398,0.0010279527980639463,3.7288184321873654,1.9178482770964113e-07,0.15733709162656023,3.7757865935048515e-11,0.0071041418310587795
0.2886,52.42064365263746,0.5242064365263746,5.299583982097285e-05,3.9733757153887037,29.133633319820724,2.3939104374075804,0.264637367521116,12.197697406364979,0.0006305893665656744,3.4173270924429957,1.2499270309872415e-07,0.16256536967174257,1.9290809881299638e-11,0.008901643843661138
0.3367,60.29156205144582,0.6029156205144582,7.8471753853294e-05,4.4765271033670695,23.626900936487992,2.3829877345514148,0.20558401821851452,10.312423912375019,0.00034711834786388754,3.013487153291681,6.405092229846494e-08,0.15657423240384946,1.308201104481901e-11,0.010054306908730822
0.3848,66.99830279092637,0.6699830279092638,0.00010614028050225137,4.866586750397737,19.09075965759993,2.3671221834096547,0.15634605845902855,8.638946111445968,0.00017417434434825548,2.5938513558244813,3.476816382453691e-08,0.1438388914347619,5.744700461415277e-12,0.010552601280940687
0.4329,72.64870914195401,0.7264870914195402,0.00013436923886735148,5.156398793894501,15.353561403526928,2.3489631603480574,0.11276528757667716,7.199141985704001,0.0001259512037126805,2.198206481792318,1.7470124278997446e-08,0.12789668626537581,0.0,0.010495515654883835
